point_id,fire_date,image_date,longitude,latitude,NDVI,NDWI,NBR,NDRE,VV,VH
2024323_+71364+17086,2024-11-18T00:00:00,2024-06-11T00:00:00,71.83740128468159,32.38671247487734,,,,,-10.647805614398106,-19.013556261060366
2024323_+71394+17538,2024-11-18T00:00:00,2024-06-11T00:00:00,70.7892738958361,30.85899161877673,,,,,-12.552096035199726,-23.2279596743845
2024323_+71468+17723,2024-11-18T00:00:00,2024-06-11T00:00:00,70.62123921169477,30.238460410117757,,,,,-9.812138989722639,-20.19899161200263
2024323_+71584+17274,2024-11-18T00:00:00,2024-06-11T00:00:00,72.21290680115922,31.75437768344497,,,,,-19.511856735815893,-27.764432169501262
2024323_+71641+17373,2024-11-18T00:00:00,2024-06-11T00:00:00,72.17592871145784,31.42050491356867,,,,,-13.336180312807697,-19.580696338532245
2024323_+71656+17637,2024-11-18T00:00:00,2024-06-11T00:00:00,71.57059148293372,30.525118848900437,,,,,-10.068684703798187,-19.04938900648488
2024323_+71661+17553,2024-11-18T00:00:00,2024-06-11T00:00:00,71.7969948810016,30.811777287683107,,,,,-10.788190712067651,-19.612053980024736
2024323_+71663+17326,2024-11-18T00:00:00,2024-06-11T00:00:00,72.38547992566409,31.579010167954387,,,,,,
2024323_+71663+17365,2024-11-18T00:00:00,2024-06-11T00:00:00,72.29225435104263,31.445798305225967,,,,,-10.092608250863822,-23.917167456511454
2024323_+71663+17627,2024-11-18T00:00:00,2024-06-11T00:00:00,71.61556476690046,30.562215823331133,,,,,-12.235487185722867,-17.609862987647443
2024323_+71665+17565,2024-11-18T00:00:00,2024-06-11T00:00:00,71.78444361754217,30.771307861031435,,,,,-11.433385139164617,-21.904770505643775
2024323_+71665+17615,2024-11-18T00:00:00,2024-06-11T00:00:00,71.65650810674465,30.604371476093284,,,,,-8.992347122480645,-15.996760354638024
2024323_+71670+17313,2024-11-18T00:00:00,2024-06-11T00:00:00,72.4519157776582,31.621165820716552,,,,,,
2024323_+71673+17350,2024-11-18T00:00:00,2024-06-11T00:00:00,72.36495282125469,31.496385088540553,,,,,,
2024323_+71678+17331,2024-11-18T00:00:00,2024-06-11T00:00:00,72.44226651629744,31.57057903740195,,,,,,
2024323_+71683+17439,2024-11-18T00:00:00,2024-06-11T00:00:00,72.17126368027728,31.19286438865302,,,,,-8.889121930984896,-18.337964573429513
2024323_+71717+17410,2024-11-18T00:00:00,2024-06-11T00:00:00,72.3900189034797,31.295724181392682,,,,,,
2024323_+71727+17279,2024-11-18T00:00:00,2024-06-11T00:00:00,72.76879543390689,31.7375154223401,,,,,,
2024323_+71730+17397,2024-11-18T00:00:00,2024-06-11T00:00:00,72.47376111458466,31.33787983415484,,,,,,
2024323_+71730+17583,2024-11-18T00:00:00,2024-06-11T00:00:00,71.99349010588648,30.712289947164418,,,,,-11.233059718309299,-18.662387744649862
2024323_+71759+17541,2024-11-18T00:00:00,2024-06-11T00:00:00,72.21548133836643,30.853932940445265,,,,,,
2024323_+71791+17219,2024-11-18T00:00:00,2024-06-11T00:00:00,73.18482977443918,31.934803877267004,,,,,,
2024323_+71794+17195,2024-11-18T00:00:00,2024-06-11T00:00:00,73.25979293714614,32.01978967323552,,,,,,
2024323_+71796+17602,2024-11-18T00:00:00,2024-06-11T00:00:00,72.20264273136134,30.64315467663447,,,,,,
